

2020-09-01 14:41:11,468 BAIN.MC 2.9
2020-09-01 14:41:13,081 ADL.MC 0.83
2020-09-01 14:41:14,056 NTX.MC 2.46
2020-09-01 14:41:15,768 BIO.MC 1.8
2020-09-01 14:41:17,273 BKY.MC 0.651
2020-09-01 14:42:07,296 PRO.MC 17.0
2020-09-01 14:42:08,766 FACE.MC 6.78
2020-09-01 14:42:09,363 GRN.MC 12.8
2020-09-01 14:42:09,765 XBRK.MC 3.5
2020-09-01 14:42:11,038 XELTO.MC 5.7
2020-09-01 14:42:11,628 BAIN.MC 2.9
2020-09-01 14:42:13,263 ADL.MC 0.83
2020-09-01 14:42:14,224 NTX.MC 2.46
2020-09-01 14:42:16,012 BIO.MC 1.79
2020-09-01 14:42:17,522 BKY.MC 0.65
2020-09-01 14:43:07,504 PRO.MC 17.0
2020-09-01 14:43:09,001 FACE.MC 6.76
2020-09-01 14:43:09,597 GRN.MC 12.8
2020-09-01 14:43:09,888 XBRK.MC 3.5
2020-09-01 14:43:11,264 XELTO.MC 5.7
2020-09-01 14:43:11,762 BAIN.MC 2.9
2020-09-01 14:43:13,448 ADL.MC 0.83
2020-09-01 14:43:14,423 NTX.MC 2.46
2020-09-01 14:43:16,261 BIO.MC 1.79
2020-09-01 14:43:17,787 BKY.MC 0.65
2020-09-01 14:44:07,688 PRO.MC 17.0
2020-09-01 14:44:09,222 FACE.MC 6.76
2020-09-01 14:44:09,774 GRN.MC 12.8
2020-09-01 14:44:10,024 XBRK.MC 3.5
2020-09-01 14:44:11,422 XELTO.MC 5.7
2020-09-01 14:44:11,902 BAIN.MC 2.9
2020-09-01 14:44:13,640 ADL.MC 0.83
2020-09-01 14:44:14,591 NTX.MC 2.46
2020-09-01 14:44:16,495 BIO.MC 1.804
2020-09-01 14:44:18,053 BKY.MC 0.65
2020-09-01 14:45:07,866 PRO.MC 17.0
2020-09-01 14:45:09,426 FACE.MC 6.76
2020-09-01 14:45:09,990 GRN.MC 12.8
2020-09-01 14:45:10,153 XBRK.MC 3.5
2020-09-01 14:45:11,569 XELTO.MC 5.7
2020-09-01 14:45:12,098 BAIN.MC 2.9
2020-09-01 14:45:13,822 ADL.MC 0.83
2020-09-01 14:45:14,764 NTX.MC 2.46
2020-09-01 14:45:16,735 BIO.MC 1.804
2020-09-01 14:45:18,303 BKY.MC 0.647
2020-09-01 14:45:18,304 CompraBKY.MC 0.647
